fre_id,eng_id,fre_docname,eng_docname
001-45118,NaN,DI SANTE contre l'ITALIE,NaN
001-77527,001-192162,AFFAIRE SULTAN ÖNER ET AUTRES c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-113660,001-113656,AFFAIRE SINGH ET AUTRES c. BELGIQUE,CASE OF SINGH AND OTHERS v. BELGIUM
001-142467,001-142812,AFFAIRE A.C. ET AUTRES c. ESPAGNE,CASE OF A.C. AND OTHERS v. SPAIN
001-171100,001-171444,AFFAIRE ALLANAZAROVA c. RUSSIE,CASE OF ALLANAZAROVA v. RUSSIA
001-93464,001-93477,AFFAIRE ZAVOLOKA c. LETTONIE,CASE OF ZAVOLOKA v. LATVIA
001-120056,001-207256,AFFAIRE STELIAN ROŞCA c. ROUMANIE,CASE OF STELIAN ROŞCA AGAINST ROMANIA
001-170793,001-170457,AFFAIRE HIERNAUX c. BELGIQUE,CASE OF HIERNAUX v. BELGIUM
001-206163,001-215389,AFFAIRE BARBOTIN c. FRANCE,CASE OF BARBOTIN AGAINST FRANCE
001-147604,001-147788,AFFAIRE PANJU c. BELGIQUE,CASE OF PANJU v. BELGIUM
001-158147,001-167245,AFFAIRE VALADA MATOS DAS NEVES c. PORTUGAL,CASE OF SANTOS SILVA AND 5 OTHER CASES AGAINST PORTUGAL
001-160827,003-5306001-6605733,AFFAIRE OLIVIERI ET AUTRES c. ITALIE,Forthcoming judgments and decisions 23-25.02.16
001-182360,003-6055001-7786944,AFFAIRE BRUDAN c. ROUMANIE,Judgment Brudan v. Romania - excessive length of criminal proceedings: 14 years
001-154532,001-203997,AFFAIRE YENGO c. FRANCE,CASE OF YENGO AGAINST FRANCE
001-70028,NaN,AL-SHARI ET AUTRES c. ITALIE,NaN
001-171492,001-206995,AFFAIRE D.M. c. GRÈCE,CASE OF TAGGATIDIS AND OTHERS AGAINST GREECE AND 32 OTHER CASES
001-70800,001-70801,AFFAIRE HÜSNİYE TEKİN c. TURQUIE,CASE OF HÜSNİYE TEKİN v. TURKEY
001-139486,001-139795,AFFAIRE GALANOPOULOS c. GRÈCE,CASE OF GALANOPOULOS v. GREECE
001-76934,001-199991,AFFAIRE SÖYLEMEZ c. TURQUIE,CASE OF HULKI GÜNEŞ AGAINST TURKEY AND 2 OTHER CASES
001-69468,001-106919,CHIZZOTTI c. ITALIE*,CASE OF CHIZZOTTI AND 6 OTHER CASES AGAINST ITALY
001-72269,001-72270,AFFAIRE CHIZZOTTI c. ITALIE,CASE OF CHIZZOTTI v. ITALY
001-67527,001-206905,AFFAIRE ZAZANIS ET AUTRES c. GRECE,CASE OF ZAZANIS AND OTHERS AGAINST GREECE
001-75342,001-75343,AFFAIRE KADIĶIS c. LETTONIE (N° 2),CASE OF KADIĶIS v. LATVIA (No. 2)
001-72956,001-72957,AFFAIRE OZGUR RADYO-SES RADYO TELEVIZYON YAYIN YAPIM VE TANITIM AS. c. TURQUIE (N° 1),CASE OF OZGUR RADYO-SES RADYO TELEVIZYON YAYIN YAPIM VE TANITIM AS. v. TURKEY (No. 1)
001-93513,001-111939,AFFAIRE KHIDER c. FRANCE,CASE OF KHIDER AGAINST FRANCE
001-91440,001-164152,AFFAIRE ABRAMIUC c. ROUMANIE,CASE OF NICOLAU AND 79 OTHER CASES AGAINST ROMANIA
001-86841,001-163123,AFFAIRE MARTINS CASTRO ET ALVES CORREIA DE CASTRO c. PORTUGAL,CASE OF MARTINS CASTRO AND ALVES CORREIA DE CASTRO AND 28 OTHER CASES AGAINST PORTUGAL
