fre_id,eng_id,fre_docname,eng_docname
001-208760,001-220141,AFFAIRE BIVOLARU ET MOLDOVAN c. FRANCE,CASE OF BIVOLARU AND MOLDOVAN AGAINST FRANCE
001-120947,001-121501,AFFAIRE HASANBASIC c. SUISSE,CASE OF HASANBASIC v. SWITZERLAND
001-201347,001-201521,AFFAIRE MAKDOUDI c. BELGIQUE,CASE OF MAKDOUDI v. BELGIUM
001-215076,001-214763,AFFAIRE HASHEMI ET AUTRES c. AZERBAÏDJAN,CASE OF HASHEMI AND OTHERS v. AZERBAIJAN
001-214965,NaN,DE SOUSA c. PORTUGAL,NaN
001-104959,001-207221,AFFAIRE R.U. c. GRECE,CASE OF S.D. AGAINST GREECE AND 19 OTHER CASES
001-187511,001-187714,AFFAIRE K.G. c. BELGIQUE,CASE OF K.G. v. BELGIUM
001-68085,001-68086,AFFAIRE SINGH c. REPUBLIQUE TCHEQUE,CASE OF SINGH v. THE CZECH REPUBLIC
001-93034,001-207221,AFFAIRE S.D. c. GRECE,CASE OF S.D. AGAINST GREECE AND 19 OTHER CASES
001-205377,001-205873,AFFAIRE M.A. c. BELGIQUE,CASE OF M.A. v. BELGIUM
001-101362,001-101363,AFFAIRE SAIDOUN c. GRECE,CASE OF SAIDOUN v. GREECE
001-91570,001-91571,AFFAIRE BARRACO c. FRANCE,CASE OF BARRACO v. FRANCE
001-122059,001-192113,AFFAIRE GÜN ET AUTRES c. TURQUIE,CASE OF ABDURRAHMAN TEKIN AGAINST TURKEY AND 54 OTHER CASES
001-94865,001-109751,AFFAIRE GSELL c. SUISSE,CASE OF GSELL AGAINST SWITZERLAND
001-202456,001-202469,AFFAIRE CSISZER ET CSIBI c. ROUMANIE,CASE OF CSISZER AND CSIBI v. ROMANIA
001-200342,001-200455,AFFAIRE VAROĞLU ATİK ET AUTRES c. TURQUIE,CASE OF VAROĞLU ATİK AND OTHERS v. TURKEY
001-172313,001-172684,AFFAIRE ŞOLARI c. RÉPUBLIQUE DE MOLDOVA,CASE OF ŞOLARI v. THE REPUBLIC OF MOLDOVA
001-205816,001-223778,AFFAIRE İMREK c. TURQUIE,CASE OF ZENGİN AND ÇAKIR AGAINST TÜRKİYE AND 10 OTHER CASES
001-87602,003-2420001-2623170,AFFAIRE YILMAZ ET KILIÇ c. TURQUIE,Chamber judgments 17.07.08
001-66691,001-66693,AFFAIRE FERİDUN YAZAR ET AUTRES c. TURQUIE,CASE OF FERİDUN YAZAR AND OTHERS v. TURKEY
001-109294,001-206995,AFFAIRE SAMARAS ET AUTRES c. GRECE,CASE OF TAGGATIDIS AND OTHERS AGAINST GREECE AND 32 OTHER CASES
001-115010,001-206995,AFFAIRE TZAMALIS ET AUTRES c. GRÈCE,CASE OF TAGGATIDIS AND OTHERS AGAINST GREECE AND 32 OTHER CASES
001-148634,001-194055,AFFAIRE AL.K. c. GRÈCE,CASE OF A.F. AGAINST GREECE AND 16 OTHER CASES
001-157341,001-181970,AFFAIRE SHISHANOV c. RÉPUBLIQUE DE MOLDOVA,CASE OF CIORAP AGAINST THE REPUBLIC OF MOLDOVA AND 26 OTHER CASES
001-171962,NaN,LABACA LARREA ET AUTRES c. FRANCE,NaN
001-203838,001-204185,AFFAIRE LAUTARU ET SEED c. GRÈCE,CASE OF LAUTARU AND SEED v. GREECE
001-212042,001-223493,AFFAIRE SYRIANOS c. GRÈCE,CASE OF SYRIANOS AGAINST GREECE
001-127413,001-128149,AFFAIRE S.J. c. LUXEMBOURG (N° 2),CASE OF S.J. v. LUXEMBOURG (No. 2)
001-69195,NaN,SANNINO c. ITALIE,NaN
001-207804,001-208032,AFFAIRE RAMAZAN DEMİR c. TURQUIE,CASE OF RAMAZAN DEMİR v. TURKEY
001-205262,NaN,HİLMİOĞLU c. TURQUIE,NaN
001-230629,001-230998,AFFAIRE PINTUS c. ITALIE,CASE OF PINTUS v. ITALY
001-108965,001-199678,AFFAIRE CARA-DAMIANI c. ITALIE,CASE OF CIRILLO AGAINST ITALY AND 5 OTHER CASES
001-77815,001-222297,AFFAIRE SERIFIS c. GRECE,CASE OF SERIFIS AGAINST GREECE AND 5 OTHER CASES
001-97244,001-178437,AFFAIRE V.D. c. ROUMANIE,CASE OF V.D. AGAINST ROMANIA
001-100375,001-222297,AFFAIRE XIROS c. GRECE,CASE OF SERIFIS AGAINST GREECE AND 5 OTHER CASES
001-116946,001-117206,AFFAIRE GÜLAY ÇETİN c. TURQUIE,CASE OF GÜLAY ÇETİN v. TURKEY
001-77641,001-95418,AFFAIRE VINCENT c. FRANCE,CASE OF VINCENT AGAINST FRANCE
001-80410,001-80411,AFFAIRE HÜSEYİN YILDIRIM c. TURQUIE,CASE OF HÜSEYİN YILDIRIM v. TURKEY
001-67652,001-80776,AFFAIRE FARBTUHS c. LETTONIE,CASE OF FARBTUHS AGAINST LATVIA
001-140772,001-199678,AFFAIRE CONTRADA  c. ITALIE (N° 2),CASE OF CIRILLO AGAINST ITALY AND 5 OTHER CASES
001-91495,001-148546,AFFAIRE POGHOSSIAN c. GEORGIE,CASE OF GHAVTADZE AND 4 OTHER CASES AGAINST GEORGIA
001-86957,001-222297,AFFAIRE KOTSAFTIS c. GRECE,CASE OF SERIFIS AGAINST GREECE AND 5 OTHER CASES
001-91550,001-91551,AFFAIRE GHAVTADZE c. GEORGIE,CASE OF GHAVTADZE v. GEORGIA
001-112436,001-181972,AFFAIRE FULOP c. ROUMANIE,CASE OF ALI AGAINST ROMANIA AND 120 OTHER CASES
001-98977,001-181972,AFFAIRE IAMANDI c. ROUMANIE,CASE OF ALI AGAINST ROMANIA AND 120 OTHER CASES
001-155825,001-196628,AFFAIRE MARTZAKLIS ET AUTRES c. GRÈCE,CASE OF MARTZAKLIS AND OTHERS AGAINST GREECE AND 1 OTHER CASE
001-230715,001-194257,AFFAIRE TARRICONE c. ITALIE,TARRICONE v. ITALY
001-102439,001-161688,AFFAIRE RAFFRAY TADDEI c. FRANCE,CASE OF RENOLDE AND 3 OTHER CASES AGAINST FRANCE
001-76287,001-76288,AFFAIRE RIVIERE c. FRANCE,CASE OF RIVIERE v. FRANCE
001-209034,001-209350,AFFAIRE VENKEN ET AUTRES c. BELGIQUE,CASE OF VENKEN AND OTHERS v. BELGIUM
001-166489,001-166702,AFFAIRE W.D. c. BELGIQUE,CASE OF W.D. v. BELGIUM
001-189734,001-206907,AFFAIRE PATSAKI ET AUTRES c. GRÈCE,CASE OF TSALIKIDIS AND OTHERS AGAINST GREECE AND 1 OTHER CASE
001-88978,001-88980,AFFAIRE STOINE HRISTOV c. BULGARIE ,CASE OF STOINE HRISTOV v. BULGARIA 
001-91988,001-91989,AFFAIRE HOROZ c. TURQUIE,CASE OF HOROZ v. TURKEY
001-79776,NaN,ÖZGÜL c. TURQUIE,NaN
001-118757,NaN,RAPPAZ c. SUISSE,NaN
001-71007,001-71009,AFFAIRE TEKİN YILDIZ c. TURQUIE,CASE OF TEKİN YILDIZ v. TURKEY
001-71001,001-71002,AFFAIRE SİNAN EREN c. TURQUIE,CASE OF SİNAN EREN v. TURKEY
001-138880,001-222465,AFFAIRE LEYLA ALP ET AUTRES c. TURQUIE,CASE OF KESER AND KÖMÜRCÜ AGAINST TÜRKİYE AND 6 OTHER CASES 
001-80611,001-188865,AFFAIRE GORODNITCHEV c. RUSSIE,CASE OF A.B. AGAINST RUSSIA AND 135 OTHER CASES
001-104896,001-223762,AFFAIRE DUVAL c. FRANCE,CASE OF DUVAL AGAINST FRANCE
001-97971,001-167424,AFFAIRE STEGARESCU ET BAHRIN c. PORTUGAL,CASE OF STEGARESCU AND BAHRIN AGAINST PORTUGAL
001-126537,001-127003,AFFAIRE YURIY ILLARIONOVICH SHCHOKIN c. UKRAINE,CASE OF YURIY ILLARIONOVICH SHCHOKIN v. UKRAINE
001-107134,001-107135,AFFAIRE STASI c. FRANCE,CASE OF STASI v. FRANCE
001-189765,001-191123,AFFAIRE BOLTAN c. TURQUIE,CASE OF BOLTAN v. TURKEY
001-147880,001-148264,AFFAIRE BODEIN c. FRANCE,CASE OF BODEIN v. FRANCE
001-194036,001-194051,AFFAIRE MARCELLO VIOLA c. ITALIE (N° 2),CASE OF MARCELLO VIOLA v. ITALY (No. 2)
001-75828,001-75830,AFFAIRE KORNAKOVS c. LETTONIE,CASE OF KORNAKOVS v. LATVIA
001-65680,001-61123,AFFAIRE COTLET c. ROUMANIE,CASE OF COTLET v. ROMANIA
001-219646,001-220172,AFFAIRE CONSTANTIN-LUCIAN SPÎNU c. ROUMANIE,CASE OF CONSTANTIN-LUCIAN SPÎNU v. ROMANIA
001-213211,001-213581,AFFAIRE MEHMET ÇİFTCİ c. TURQUIE,CASE OF MEHMET ÇİFTCİ v. TURKEY
001-226080,001-226092,AFFAIRE OSMAN ET ALTAY c. TÜRKİYE,CASE OF OSMAN AND ALTAY v. TÜRKİYE
001-215140,001-215335,AFFAIRE MEHMET ÇİFTÇİ ET SUAT İNCEDERE c. TURQUIE,CASE OF MEHMET ÇİFTÇİ AND SUAT İNCEDERE v. TURKEY
001-166749,001-229985,AFFAIRE SIEMASZKO ET OLSZYŃSKI c. POLOGNE,CASE OF SIEMASZKO AND OLSZYŃSKI AGAINST POLAND
001-99896,003-3582001-4053691,AFFAIRE TENDAM c. ESPAGNE,Forthcoming judgments 28-30.06.11
001-193741,001-194194,AFFAIRE MEHMET REŞİT ARSLAN ET ORHAN BİNGÖL c. TURQUIE,CASE OF MEHMET REŞİT ARSLAN AND ORHAN BİNGÖL v. TURKEY
001-207359,001-216609,AFFAIRE KARGAKIS c. GRÈCE,CASE OF KARGAKIS AGAINST GREECE
001-191541,NaN,DRANICERU c. RÉPUBLIQUE DE MOLDOVA,NaN
001-107217,NaN,SCHUCHTER c. ITALIE,NaN
001-108254,NaN,SEGURA NARANJO c. POLOGNE,NaN
001-100498,001-100499,AFFAIRE SANTOS COUTO c. PORTUGAL,CASE OF SANTOS COUTO v. PORTUGAL
001-217430,NaN,M c. FRANCE,NaN
001-208088,001-188246,LAMBDAISTANBUL LGBTI - ASSOCIATION DE SOLIDARITÉ c. TURQUIE,LAMBDAISTANBUL LGBTI SOLIDARITY ASSOCIATION v. TURKEY
001-162839,NaN,A.N. c. FRANCE,NaN
001-178300,NaN,E.S. c. ESPAGNE,NaN
001-90476,001-90498,AFFAIRE SCHLUMPF c. SUISSE,CASE OF SCHLUMPF v. SWITZERLAND
001-205800,001-206211,AFFAIRE HONNER c. FRANCE,CASE OF HONNER v. FRANCE
001-207364,001-207630,AFFAIRE X ET Y c. ROUMANIE,CASE OF X AND Y v. ROMANIA
001-203898,001-203493,AFFAIRE Y.T. c. BULGARIE,CASE OF Y.T. v. BULGARIA
001-87061,NaN,X c. FRANCE,NaN
001-223932,001-224238,AFFAIRE A.H. ET AUTRES c. ALLEMAGNE,CASE OF A.H. AND OTHERS v. GERMANY
001-72860,001-72861,AFFAIRE ALBANESE c. ITALIE,CASE OF ALBANESE v. ITALY
001-147285,001-147699,AFFAIRE NAIDIN c. ROUMANIE,CASE OF NAIDIN v. ROMANIA
001-97047,001-97084,AFFAIRE AIZPURUA ORTIZ ET AUTRES c. ESPAGNE,CASE OF AIZPURUA ORTIZ AND OTHERS v. SPAIN
001-146695,001-147063,AFFAIRE MATELLY c. FRANCE,CASE OF MATELLY v. FRANCE
001-92266,001-178799,AFFAIRE ENERJI YAPI-YOL SEN c. TURQUIE,CASE OF ENERJI YAPI-YOL SEN AGAINST TURKEY
001-81713,001-228962,AFFAIRE DİLEK ET AUTRES c. TURQUIE,CASE OF DİLEK AND OTHERS AGAINST TURKEY
001-93993,001-93994,AFFAIRE KAYA ET SEYHAN c. TURQUIE,CASE OF KAYA AND SEYHAN v. TURKEY
001-153921,001-154217,AFFAIRE JUNTA RECTORA DEL ERTZAINEN NAZIONAL ELKARTASUNA (ER.N.E.) c. ESPAGNE,CASE OF JUNTA RECTORA DEL ERTZAINEN NAZIONAL ELKARTASUNA (ER.N.E.) v. SPAIN
001-101365,001-109698,AFFAIRE FAWSIE c. GRÈCE,CASES OF FAWSIE AND SAIDOUN AGAINST GREECE
001-183130,001-183431,AFFAIRE N.T.P. ET AUTRES c. FRANCE,CASE OF N.T.P. AND OTHERS v. FRANCE
001-117089,NaN,BAYRAKCI c. TURQUIE,NaN
001-65559,001-97985,AFFAIRE MOCIE c. FRANCE,CASE OF MOCIE AND DESSERPRIT AGAINST FRANCE
001-207113,001-216312,AFFAIRE RYSER c. SUISSE,CASE OF RYSER AGAINST SWITZERLAND
001-62074,001-57516,AFFAIRE LAWLESS c. IRLANDE (N° 1),CASE OF LAWLESS v. IRELAND (No. 1)
001-139641,001-138916,AFFAIRE KHMEL c. RUSSIE,CASE OF KHMEL v. RUSSIA
001-24687,001-85292,DUJARDIN et AUTRES contre la FRANCE,DUJARDIN ET AUTRES v. FRANCE
001-62809,001-45909,AFFAIRE OSMAN c. ROYAUME-UNI,OSMAN v. THE UNITED KINGDOM
001-173169,001-111101,AFFAIRE TAGAYEVA ET AUTRES c. RUSSIE,TAGAYEVA AND OTHERS v. RUSSIA
001-69631,001-61648,AFFAIRE NATCHOVA ET AUTRES c. BULGARIE,CASE OF NACHOVA AND OTHERS v. BULGARIA
001-183818,001-184298,AFFAIRE SEMACHE c. FRANCE,CASE OF SEMACHE v. FRANCE
001-70020,001-192162,AFFAIRE TANIŞ ET AUTRES c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-62498,001-45645,AFFAIRE McCANN ET AUTRES c. ROYAUME-UNI,"McCANN, FARRELL AND SAVAGE v. the UNITED KINGDOM"
001-108244,001-98238,AFFAIRE FINOGENOV ET AUTRES c. RUSSIE [Extraits],FINOGENOV AND OTHERS v. RUSSIA
001-87046,001-95522,AFFAIRE ABDULLAH YILMAZ  c. TURQUIE,"CASE OF SALGYN, ATAMAN, CALYYKAN HASAN AND OTHERS AND ABDULLAH Y¨YLMAZ AGAINST TURKEY"
001-69917,001-212456,AFFAIRE SIMSEK ET AUTRES c. TURQUIE,CASE OF BATI AND OTHERS AGAINST TURKEY AND 10 OTHER CASES
001-62768,001-192162,AFFAIRE GÜLEÇ c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-71209,001-6005,AFFAIRE KAKOULLI c. TURQUIE,KAKOULLI v. TURKEY
001-202412,001-202446,AFFAIRE CASTELLANI c. FRANCE,CASE OF CASTELLANI v. FRANCE
001-79471,001-192162,AFFAIRE YÜKSEL ERDOĞAN ET AUTRES c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-62064,001-73559,AFFAIRE IRLANDE c. ROYAUME-UNI,IRELAND v. THE UNITED KINGDOM
001-104296,001-188865,AFFAIRE VASYUKOV c. RUSSIE,CASE OF A.B. AGAINST RUSSIA AND 135 OTHER CASES
001-181830,001-210931,AFFAIRE MEHMET HASAN ALTAN c. TURQUIE,CASE OF ÖNER AND TÜRK AGAINST TURKEY AND 21 OTHER CASES
001-62758,001-192162,AFFAIRE KURT c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-146048,001-222192,AFFAIRE AL NASHIRI c. POLOGNE,CASE OF AL NASHIRI AGAINST POLAND AND 1 OTHER CASE
001-146049,001-222192,AFFAIRE HUSAYN (ABU ZUBAYDAH) c. POLOGNE,CASE OF AL NASHIRI AGAINST POLAND AND 1 OTHER CASE
001-183688,001-183687,AFFAIRE ABU ZUBAYDAH c. LITUANIE,CASE OF ABU ZUBAYDAH v. LITHUANIA
001-62384,001-55756,AFFAIRE KOKKINAKIS c. GRÈCE,CASE OF KOKKINAKIS AGAINST GREECE
001-148274,001-231852,AFFAIRE GÜLER ET UĞUR c. TURQUIE,CASE OF GÜLER AND UĞUR AGAINST TÜRKİYE AND 10 OTHER CASES
001-99780,001-186888,AFFAIRE GÖZEL ET ÖZER c. TURQUIE,CASE OF INCAL AGAINST TURKEY AND 1 OTHER CASE
001-183157,001-182731,AFFAIRE STOMAKHIN c. RUSSIE,CASE OF STOMAKHIN v. RUSSIA
001-81609,001-81608,AFFAIRE JORGIC c. ALLEMAGNE,CASE OF JORGIC v. GERMANY
001-62755,001-186888,AFFAIRE INCAL c. TURQUIE,CASE OF INCAL AGAINST TURKEY AND 1 OTHER CASE
001-101738,001-114009,AFFAIRE TAXQUET c. BELGIQUE,CASE OF TAXQUET AGAINST BELGIUM
001-154145,001-184025,AFFAIRE GALİP DOĞRU c. TURQUIE,CASE OF SALDUZ AGAINST TURKEY AND 83 OTHER CASES
001-76308,001-99648,AFFAIRE JALLOH c. ALLEMAGNE,CASE OF JALLOH AGAINST GERMANY
001-113336,001-147173,AFFAIRE EL HASKI c. BELGIQUE,CASE OF EL HASKI AGAINST BELGIUM
001-108630,001-127577,AFFAIRE OTHMAN (ABU QATADA) c. ROYAUME-UNI [Extraits],CASE OF OTHMAN (ABU QATADA) AGAINST THE UNITED KINGDOM
001-187441,001-187244,AFFAIRE MEHMET DUMAN c. TURQUIE,CASE OF MEHMET DUMAN v. TURKEY
001-62973,001-46140,AFFAIRE ROWE ET DAVIS c. ROYAUME-UNI,ROWE AND DAVIS v. THE UNITED KINGDOM
001-90050,001-98287,AFFAIRE BELACHEV c. RUSSIE,CASE OF KALASHNIKOV AND 30 OTHER CASES AGAINST RUSSIA
001-62531,001-45692,AFFAIRE DOORSON c. PAYS-BAS,DOORSON v. THE NETHERLANDS
001-63980,001-5448,AFFAIRE B. ET P. c. ROYAUME-UNI,B. v. THE UNITED KINGDOM
001-63530,001-58978,AFFAIRE RIEPAN c. AUTRICHE,CASE OF RIEPAN v. AUSTRIA
001-101485,001-101314,AFFAIRE KRESTOVSKIY c. RUSSIE,CASE OF KRESTOVSKIY v. RUSSIA
001-168408,001-167796,AFFAIRE CHAUSHEV ET AUTRES c. RUSSIE,CASE OF CHAUSHEV AND OTHERS v. RUSSIA
001-89894,001-184025,AFFAIRE SALDUZ c. TURQUIE,CASE OF SALDUZ AGAINST TURKEY AND 83 OTHER CASES
001-173704,001-212434,AFFAIRE SIMEONOVI c. BULGARIE,CASE OF CHOBANOV AND KOYRUSHKI AGAINST BULGARIA AND 7 OTHER CASES
001-62056,001-55408,AFFAIRE GUZZARDI c. ITALIE,GUZZARDI CASE
001-64117,001-5569,AFFAIRE PHILLIPS c. ROYAUME-UNI,PHILLIPS v. THE UNITED KINGDOM
001-91448,001-96184,AFFAIRE GRIFHORST c. FRANCE,CASE OF GRIFHORST v. FRANCE
001-139280,001-186888,AFFAIRE YAVUZ ET YAYLALI c. TURQUIE,CASE OF INCAL AGAINST TURKEY AND 1 OTHER CASE
001-62691,001-58128,AFFAIRE PARTI COMMUNISTE UNIFIÉ DE TURQUIE ET AUTRES c. TURQUIE,CASE OF UNITED COMMUNIST PARTY OF TURKEY AND OTHERS v. TURKEY
001-65493,001-60936,AFFAIRE REFAH PARTISI (PARTI DE LA PROSPERITE) ET AUTRES c. TURQUIE,CASE OF REFAH PARTISI (THE WELFARE PARTY) AND OTHERS v. TURKEY
001-93348,001-93475,AFFAIRE HERRI BATASUNA ET BATASUNA c. ESPAGNE,CASE OF HERRI BATASUNA AND BATASUNA v. SPAIN
001-71497,001-71498,AFFAIRE İLETMİŞ c. TURQUIE,CASE OF İLETMİŞ v. TURKEY  
001-164501,001-148355,AFFAIRE RAMADAN c. MALTE [Extraits],RAMADAN v. MALTA
001-164448,001-220580,AFFAIRE AL-DULIMI ET MONTANA MANAGEMENT INC. c. SUISSE,CASE OF AL-DULIMI AND MONTANA MANAGEMENT INC. AGAINST SWITZERLAND
001-138563,001-220580,AFFAIRE AL-DULIMI ET MONTANA MANAGEMENT INC. c. SUISSE,CASE OF AL-DULIMI AND MONTANA MANAGEMENT INC. AGAINST SWITZERLAND
001-218931,001-219133,AFFAIRE W c. FRANCE,CASE OF W v. FRANCE
001-121207,001-90036,AFFAIRE SABANCHIYEVA ET AUTRES c. RUSSIE [Extraits],SABANCHIYEVA AND OTHERS v. RUSSIA
001-183582,001-220856,AFFAIRE GÜLBAHAR ÖZER ET YUSUF ÖZER c. TURQUIE,CASE OF GÜLBAHAR ÖZER AND YUSUF ÖZER AGAINST TURKEY
001-142086,001-142087,AFFAIRE ÖCALAN c. TURQUIE (N° 2),CASE OF ÖCALAN v. TURKEY (No. 2) [Extracts]
001-65292,001-4991,AFFAIRE PŁOSKI c. POLOGNE,PLOSKI v. POLAND
001-62076,001-57518,AFFAIRE LAWLESS c. IRLANDE (N° 3),CASE OF LAWLESS v. IRELAND (No. 3)
001-62563,001-192162,AFFAIRE AKSOY c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-62376,001-829,AFFAIRE BRANNIGAN ET McBRIDE c. ROYAUME-UNI,BRANNIGAN ; McBRIDE v. THE UNITED KINGDOM
001-181827,001-210931,AFFAIRE ŞAHİN ALPAY c. TURQUIE,CASE OF ÖNER AND TÜRK AGAINST TURKEY AND 21 OTHER CASES
